Date,Open,High,Low,Close,Adj Close,Volume
2022-09-28,40.849998,41.570000,40.590000,41.340000,40.634869,23217700
2022-09-29,41.049999,41.099998,40.150002,40.570000,39.878002,19496400
2022-09-30,40.660000,41.040001,39.959999,40.000000,39.317726,27989900
2022-10-03,40.669998,41.529999,40.470001,41.290001,40.585724,22203600
2022-10-04,41.560001,42.040001,41.389999,41.820000,41.488510,22889400
2022-10-05,41.590000,42.250000,41.400002,41.990002,41.657166,14289700
2022-10-06,41.650002,42.090000,41.369999,41.520000,41.190887,18198800
2022-10-07,41.250000,41.250000,40.080002,40.270000,39.950798,19055400
2022-10-10,40.630001,40.810001,39.599998,39.889999,39.573807,16628400
2022-10-11,39.810001,40.110001,39.270000,39.580002,39.266266,19386400
2022-10-12,39.700001,39.860001,39.250000,39.270000,38.958725,17279900
2022-10-13,39.029999,40.799999,38.599998,40.610001,40.288101,26328300
2022-10-14,40.840000,40.959999,39.919998,40.200001,39.881351,19571000
2022-10-17,41.040001,41.529999,40.950001,41.299999,40.972630,27845200
2022-10-18,41.919998,42.220001,41.259998,41.790001,41.458748,18223300
2022-10-19,41.630001,42.240002,41.470001,41.880001,41.548035,19071700
2022-10-20,41.560001,42.619999,41.459999,41.709999,41.379383,16830500
2022-10-21,41.849998,42.970001,41.810001,42.799999,42.460743,25035000
2022-10-24,43.119999,43.730000,42.900002,43.540001,43.194878,18785300
2022-10-25,43.340000,44.400002,43.200001,44.360001,44.008377,19165200
2022-10-26,44.930000,45.230000,44.279999,44.380001,44.028221,20051000
2022-10-27,44.770000,45.090000,44.360001,44.419998,44.067898,18102500
2022-10-28,44.689999,45.709999,44.650002,45.639999,45.278229,17978300
2022-10-31,45.310001,45.639999,45.060001,45.430000,45.069897,17793700
2022-11-01,45.580002,45.790001,45.060001,45.459999,45.099655,12088700
2022-11-02,45.470001,46.209999,44.549999,44.570000,44.216713,15308800
2022-11-03,44.029999,44.150002,43.389999,43.849998,43.502419,17895600
2022-11-04,44.500000,45.080002,43.830002,44.520000,44.167110,19648700
2022-11-07,44.830002,44.980000,44.410000,44.549999,44.196869,21383000
2022-11-08,44.689999,45.349998,44.180000,44.610001,44.256397,17503100
2022-11-09,44.509998,44.720001,43.889999,43.910000,43.561943,19311700
2022-11-10,45.700001,45.810001,44.650002,45.660000,45.298073,27190100
2022-11-11,45.180000,45.320000,43.919998,44.790001,44.434971,25961800
2022-11-14,44.830002,45.439999,44.680000,44.740002,44.385365,21091300
2022-11-15,45.040001,45.240002,44.450001,44.900002,44.544098,19318000
2022-11-16,44.939999,44.980000,44.299999,44.389999,44.038139,24939600
2022-11-17,46.189999,46.849998,45.160000,46.590000,46.220699,38887800
2022-11-18,46.910000,48.040001,46.860001,47.790001,47.411190,30843200
2022-11-21,47.610001,48.290001,47.560001,47.619999,47.242535,17049500
2022-11-22,48.000000,48.419998,47.759998,48.380001,47.996513,16367800
2022-11-23,48.400002,48.990002,48.320000,48.570000,48.185005,12065600
2022-11-25,48.750000,49.049999,48.349998,48.400002,48.016354,8492600
2022-11-28,48.290001,48.470001,47.919998,48.080002,47.698891,14976600
2022-11-29,48.250000,48.410000,47.840000,48.279999,47.897305,13779300
2022-11-30,48.169998,49.830002,47.959999,49.720001,49.325890,29919700
2022-12-01,49.880001,50.459999,49.689999,49.970001,49.573910,18559500
2022-12-02,49.230000,49.840000,48.919998,49.700001,49.306049,12325100
2022-12-05,49.549999,49.639999,49.169998,49.330002,48.938984,13795900
2022-12-06,49.439999,49.439999,48.259998,48.590000,48.204849,15443800
2022-12-07,48.400002,48.549999,48.060001,48.180000,47.798096,15171700
2022-12-08,48.660000,49.200001,48.619999,48.990002,48.601677,16015800
2022-12-09,49.099998,49.169998,48.439999,48.459999,48.075878,14303200
2022-12-12,48.799999,49.320000,48.369999,49.299999,48.909218,15425300
2022-12-13,50.330002,50.709999,49.230000,49.639999,49.246525,22705900
2022-12-14,49.740002,50.060001,48.820000,49.299999,48.909218,19050400
2022-12-15,48.959999,49.049999,47.740002,48.150002,47.768337,19372500
2022-12-16,47.410000,48.000000,47.080002,47.810001,47.431030,66125400
2022-12-19,47.660000,47.959999,47.139999,47.400002,47.024281,17986300
2022-12-20,47.410000,47.560001,46.790001,47.369999,46.994518,15086200
2022-12-21,47.689999,47.959999,47.419998,47.660000,47.282219,15599400
2022-12-22,47.490002,47.490002,46.689999,47.320000,46.944912,23118500
2022-12-23,47.250000,47.490002,47.009998,47.480000,47.103645,9554400
2022-12-27,47.669998,47.709999,47.220001,47.529999,47.153248,12066200
2022-12-28,47.689999,47.770000,46.980000,47.070000,46.696896,9847400
2022-12-29,47.259998,47.740002,47.259998,47.500000,47.123486,11396500
2022-12-30,47.270000,47.669998,46.950001,47.639999,47.262379,13198500
2023-01-03,47.860001,48.049999,47.310001,47.939999,47.559998,17718900
2023-01-04,48.279999,48.480000,47.169998,47.549999,47.549999,18339800
2023-01-05,47.490002,47.490002,46.759998,46.880001,46.880001,17372100
2023-01-06,47.459999,48.590000,47.279999,48.320000,48.320000,20823000
2023-01-09,48.259998,49.209999,48.220001,48.580002,48.580002,13938000
2023-01-10,48.799999,49.209999,48.590000,48.810001,48.810001,12474400
2023-01-11,48.830002,49.230000,48.700001,49.209999,49.209999,12530900
2023-01-12,49.209999,49.430000,48.849998,49.000000,49.000000,14241700
2023-01-13,48.560001,49.020000,48.419998,48.880001,48.880001,12649300
2023-01-17,48.919998,48.939999,47.950001,48.080002,48.080002,19290800
2023-01-18,48.189999,48.270000,46.889999,46.900002,46.900002,19882200
2023-01-19,46.950001,47.049999,46.389999,46.459999,46.459999,19118600
2023-01-20,46.060001,46.830002,45.669998,46.779999,46.779999,21842200
2023-01-23,46.900002,47.869999,46.810001,47.500000,47.500000,15180500
2023-01-24,47.490002,48.020000,47.060001,47.810001,47.810001,14872700
2023-01-25,47.980000,48.080002,47.230000,47.980000,47.980000,14638700
2023-01-26,48.150002,48.470001,47.830002,48.340000,48.340000,12952700
2023-01-27,48.099998,48.730000,47.970001,48.509998,48.509998,13414200
2023-01-30,48.139999,48.500000,48.119999,48.220001,48.220001,19261900
2023-01-31,48.119999,48.689999,48.049999,48.669998,48.669998,16821600
2023-02-01,48.389999,48.900002,47.509998,48.570000,48.570000,19639400
2023-02-02,48.529999,49.560001,48.360001,49.320000,49.320000,17883800
2023-02-03,49.299999,49.299999,48.509998,48.630001,48.630001,17974900
2023-02-06,48.070000,48.279999,47.520000,47.570000,47.570000,13991600
2023-02-07,47.240002,48.150002,46.970001,47.840000,47.840000,16675200
